,land_area,n_gas_station_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hotel_in_1km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_mart_in_1km,n_mart_in_1km_to_2km,n_pre_school_in_1km_to_2km,n_secondary_school_in_1km,n_seven_eleven_in_3km_to_5km,nearest_super_market,n_super_market_in_1km_to_2km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,h3_price_mean,h3_price_median,h3_price_min,price_per_m2
0,420.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1000.0
1,420.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1000.0
2,420.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1000.0
3,420.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1000.0
4,420.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1000.0
5,420.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1000.0
6,435.0,3,0,0,1,2,3,0,0,2,0,5,0,1,0,0,1,1235.632183908046,1235.632183908046,804.5977011494252,804.5977011494252
7,512.0,2,12,24,1,15,47,2,15,3,3,17,2,3,2,3,35,1970.7172473585426,1767.7777777777778,170.13588235294117,5859.375
8,512.0,2,12,24,1,15,47,2,15,3,3,17,2,3,2,3,35,1970.7172473585426,1767.7777777777778,170.13588235294117,5859.375
9,512.0,2,12,24,1,15,47,2,15,3,3,17,2,3,2,3,35,1970.7172473585426,1767.7777777777778,170.13588235294117,5859.375
10,650.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,3846.153846153846
11,650.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,3846.153846153846
12,837.0,6,3,3,1,4,2,0,1,2,2,13,2,5,0,1,4,1778.6773490758312,1764.7058823529412,1600.0,1971.326164874552
13,465.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6021.505376344087
14,465.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6021.505376344087
15,465.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6021.505376344087
16,465.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6021.505376344087
17,465.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6021.505376344087
18,465.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6021.505376344087
19,485.0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1382.2546740381656,1329.850059969418,120.0,927.8350515463916
20,485.0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1382.2546740381656,1329.850059969418,120.0,927.8350515463916
21,1200.0,11,11,29,1,6,4,5,18,19,4,25,1,11,0,3,11,3126.693060543405,3109.991662034464,1003.5122930255897,3000.0
22,1200.0,11,11,29,1,6,4,5,18,19,4,25,1,11,0,3,11,3126.693060543405,3109.991662034464,1003.5122930255897,3000.0
23,1200.0,11,11,29,1,6,4,5,18,19,4,25,1,11,0,3,11,3126.693060543405,3109.991662034464,1003.5122930255897,3000.0
24,1200.0,11,11,29,1,6,4,5,18,19,4,25,1,11,0,3,11,3126.693060543405,3109.991662034464,1003.5122930255897,3000.0
25,154.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5519.480519480519
26,154.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5519.480519480519
27,154.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5519.480519480519
28,154.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5519.480519480519
29,154.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5519.480519480519
30,154.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5519.480519480519
31,6300.0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1587.3015873015872,1587.3015873015872,1587.3015873015872,1587.3015873015872
32,6300.0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1587.3015873015872,1587.3015873015872,1587.3015873015872,1587.3015873015872
33,6300.0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1587.3015873015872,1587.3015873015872,1587.3015873015872,1587.3015873015872
34,530.0,5,8,21,1,3,11,1,7,17,2,19,0,11,1,0,12,2200.345266166462,2197.5180972078592,175.69821428571427,2500.0
35,530.0,5,8,21,1,3,11,1,7,17,2,19,0,11,1,0,12,2200.345266166462,2197.5180972078592,175.69821428571427,2500.0
36,530.0,5,8,21,1,3,11,1,7,17,2,19,0,11,1,0,12,2200.345266166462,2197.5180972078592,175.69821428571427,2500.0
37,530.0,5,8,21,1,3,11,1,7,17,2,19,0,11,1,0,12,2200.345266166462,2197.5180972078592,175.69821428571427,2500.0
38,530.0,5,8,21,1,3,11,1,7,17,2,19,0,11,1,0,12,2200.345266166462,2197.5180972078592,175.69821428571427,2500.0
39,530.0,5,8,21,1,3,11,1,7,17,2,19,0,11,1,0,12,2200.345266166462,2197.5180972078592,175.69821428571427,2500.0
40,530.0,5,8,21,1,3,11,1,7,17,2,19,0,11,1,0,12,2200.345266166462,2197.5180972078592,175.69821428571427,2500.0
41,530.0,5,8,21,1,3,11,1,7,17,2,19,0,11,1,0,12,2200.345266166462,2197.5180972078592,175.69821428571427,2500.0
42,252.0,2,1,9,0,2,9,0,1,4,2,12,0,4,0,0,0,1940.461018703084,1817.4111749963142,250.0,4920.6349206349205
43,252.0,2,1,9,0,2,9,0,1,4,2,12,0,4,0,0,0,1940.461018703084,1817.4111749963142,250.0,4920.6349206349205
44,252.0,2,1,9,0,2,9,0,1,4,2,12,0,4,0,0,0,1940.461018703084,1817.4111749963142,250.0,4920.6349206349205
45,252.0,2,1,9,0,2,9,0,1,4,2,12,0,4,0,0,0,1940.461018703084,1817.4111749963142,250.0,4920.6349206349205
46,1074.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6300.0
47,1074.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6300.0
48,1074.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6300.0
49,1074.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6300.0
50,1074.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6300.0
51,1074.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6300.0
52,126.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1774.6510087940708,1574.074074074074,180.0,1190.4761904761904
53,392.0,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4795.918367346939
54,392.0,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4795.918367346939
55,392.0,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4795.918367346939
56,392.0,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4795.918367346939
57,392.0,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4795.918367346939
58,392.0,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4795.918367346939
59,266.0,6,45,33,10,36,35,7,39,21,4,14,10,35,7,14,65,2756.7565784456633,2485.7586352402195,100.0,6300.0
60,266.0,6,45,33,10,36,35,7,39,21,4,14,10,35,7,14,65,2756.7565784456633,2485.7586352402195,100.0,6300.0
61,266.0,6,45,33,10,36,35,7,39,21,4,14,10,35,7,14,65,2756.7565784456633,2485.7586352402195,100.0,6300.0
62,266.0,6,45,33,10,36,35,7,39,21,4,14,10,35,7,14,65,2756.7565784456633,2485.7586352402195,100.0,6300.0
63,3410.0,2,12,24,1,15,47,2,15,3,3,17,2,3,2,3,35,1970.7172473585426,1767.7777777777778,170.13588235294117,2700.0
64,3410.0,2,12,24,1,15,47,2,15,3,3,17,2,3,2,3,35,1970.7172473585426,1767.7777777777778,170.13588235294117,2700.0
65,3410.0,2,12,24,1,15,47,2,15,3,3,17,2,3,2,3,35,1970.7172473585426,1767.7777777777778,170.13588235294117,2700.0
66,800.0,0,0,0,0,0,1,0,3,1,3,15,0,0,1,1,1,1269.1666666666665,1269.1666666666665,725.0,725.0
67,238.5,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,1257.4423480083858
68,238.5,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,1257.4423480083858
69,196.0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1382.2546740381656,1329.850059969418,120.0,2397.9591836734694
70,196.0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1382.2546740381656,1329.850059969418,120.0,2397.9591836734694
71,1134.0,5,43,34,8,30,38,5,37,21,5,15,5,27,6,11,49,2756.7565784456633,2485.7586352402195,100.0,5200.0
72,1134.0,5,43,34,8,30,38,5,37,21,5,15,5,27,6,11,49,2756.7565784456633,2485.7586352402195,100.0,5200.0
73,1134.0,5,43,34,8,30,38,5,37,21,5,15,5,27,6,11,49,2756.7565784456633,2485.7586352402195,100.0,5200.0
74,1134.0,5,43,34,8,30,38,5,37,21,5,15,5,27,6,11,49,2756.7565784456633,2485.7586352402195,100.0,5200.0
75,94.5,5,3,13,0,2,6,0,6,11,3,17,0,7,0,3,5,2190.739996894242,1827.7777777777778,446.4196428571428,1227.5132275132275
76,267.3,10,48,42,3,7,52,9,23,32,3,9,2,28,3,7,45,2748.1060957443865,2348.279151684156,110.0,5985.7837635615415
77,267.3,10,48,42,3,7,52,9,23,32,3,9,2,28,3,7,45,2748.1060957443865,2348.279151684156,110.0,5985.7837635615415
78,267.3,10,48,42,3,7,52,9,23,32,3,9,2,28,3,7,45,2748.1060957443865,2348.279151684156,110.0,5985.7837635615415
79,267.3,10,48,42,3,7,52,9,23,32,3,9,2,28,3,7,45,2748.1060957443865,2348.279151684156,110.0,5985.7837635615415
80,267.3,10,48,42,3,7,52,9,23,32,3,9,2,28,3,7,45,2748.1060957443865,2348.279151684156,110.0,5985.7837635615415
81,267.3,10,48,42,3,7,52,9,23,32,3,9,2,28,3,7,45,2748.1060957443865,2348.279151684156,110.0,5985.7837635615415
82,216.0,5,3,13,0,2,6,0,6,11,3,17,0,7,0,3,5,2190.739996894242,1827.7777777777778,446.4196428571428,1666.6666666666667
83,360.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5555.555555555556
84,360.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5555.555555555556
85,360.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5555.555555555556
86,360.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5555.555555555556
87,360.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5555.555555555556
88,360.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,5555.555555555556
89,246.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,5691.056910569106
90,246.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,5691.056910569106
91,246.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,5691.056910569106
92,246.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,5691.056910569106
93,246.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,5691.056910569106
94,246.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,5691.056910569106
95,246.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,5691.056910569106
96,246.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,5691.056910569106
97,230.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,2826.086956521739
98,230.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,2826.086956521739
99,700.0,14,49,23,22,36,15,12,29,12,2,17,1,28,14,37,77,2606.024445285722,2115.4273029966707,104.16666666666669,1357.142857142857
100,700.0,14,49,23,22,36,15,12,29,12,2,17,1,28,14,37,77,2606.024445285722,2115.4273029966707,104.16666666666669,1357.142857142857
101,700.0,14,49,23,22,36,15,12,29,12,2,17,1,28,14,37,77,2606.024445285722,2115.4273029966707,104.16666666666669,1357.142857142857
102,700.0,14,49,23,22,36,15,12,29,12,2,17,1,28,14,37,77,2606.024445285722,2115.4273029966707,104.16666666666669,1357.142857142857
103,700.0,14,49,23,22,36,15,12,29,12,2,17,1,28,14,37,77,2606.024445285722,2115.4273029966707,104.16666666666669,1357.142857142857
104,700.0,14,49,23,22,36,15,12,29,12,2,17,1,28,14,37,77,2606.024445285722,2115.4273029966707,104.16666666666669,1357.142857142857
105,528.0,5,11,45,2,7,14,2,19,21,5,20,1,18,1,5,17,2423.3576950227744,2204.8611111111113,150.0,2000.0
106,528.0,5,11,45,2,7,14,2,19,21,5,20,1,18,1,5,17,2423.3576950227744,2204.8611111111113,150.0,2000.0
107,528.0,5,11,45,2,7,14,2,19,21,5,20,1,18,1,5,17,2423.3576950227744,2204.8611111111113,150.0,2000.0
108,528.0,5,11,45,2,7,14,2,19,21,5,20,1,18,1,5,17,2423.3576950227744,2204.8611111111113,150.0,2000.0
109,160.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,4812.5
110,160.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,4812.5
111,266.0,2,33,38,9,31,33,4,36,15,4,12,2,21,5,14,49,2850.3425128950394,2714.390872285609,108.031212484994,6300.0
112,266.0,2,33,38,9,31,33,4,36,15,4,12,2,21,5,14,49,2850.3425128950394,2714.390872285609,108.031212484994,6300.0
113,148.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,2486.4864864864867
114,148.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,2486.4864864864867
115,148.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,2486.4864864864867
116,148.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,2486.4864864864867
117,270.0,8,21,54,1,4,26,7,13,24,4,23,1,16,2,4,25,2437.2272196586528,1663.287616775989,476.9230769230769,6370.37037037037
118,270.0,8,21,54,1,4,26,7,13,24,4,23,1,16,2,4,25,2437.2272196586528,1663.287616775989,476.9230769230769,6370.37037037037
119,270.0,8,21,54,1,4,26,7,13,24,4,23,1,16,2,4,25,2437.2272196586528,1663.287616775989,476.9230769230769,6370.37037037037
120,734.0,0,0,0,0,2,2,0,0,0,2,5,0,0,0,0,0,1362.3978201634875,1362.3978201634875,1362.3978201634875,1362.3978201634875
121,734.0,0,0,0,0,2,2,0,0,0,2,5,0,0,0,0,0,1362.3978201634875,1362.3978201634875,1362.3978201634875,1362.3978201634875
122,385.0,8,9,34,1,3,6,3,15,14,0,24,0,12,2,2,9,1818.1818181818185,1818.1818181818185,1818.1818181818185,1818.1818181818185
123,385.0,8,9,34,1,3,6,3,15,14,0,24,0,12,2,2,9,1818.1818181818185,1818.1818181818185,1818.1818181818185,1818.1818181818185
124,385.0,8,9,34,1,3,6,3,15,14,0,24,0,12,2,2,9,1818.1818181818185,1818.1818181818185,1818.1818181818185,1818.1818181818185
125,385.0,8,9,34,1,3,6,3,15,14,0,24,0,12,2,2,9,1818.1818181818185,1818.1818181818185,1818.1818181818185,1818.1818181818185
126,76.0,1,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,655.158990456713,315.0,110.0,1973.684210526316
127,137.5,3,22,44,6,17,48,4,27,17,4,13,2,27,3,10,24,2719.744225229168,2708.7912087912086,106.25,5672.727272727273
128,137.5,3,22,44,6,17,48,4,27,17,4,13,2,27,3,10,24,2719.744225229168,2708.7912087912086,106.25,5672.727272727273
129,137.5,3,22,44,6,17,48,4,27,17,4,13,2,27,3,10,24,2719.744225229168,2708.7912087912086,106.25,5672.727272727273
130,137.5,3,22,44,6,17,48,4,27,17,4,13,2,27,3,10,24,2719.744225229168,2708.7912087912086,106.25,5672.727272727273
131,130.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,5000.0
132,130.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,5000.0
133,130.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,5000.0
134,130.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,5000.0
135,230.1,5,47,37,3,11,53,15,20,30,2,14,2,28,1,11,42,2748.1060957443865,2348.279151684156,110.0,2129.508909169926
136,230.1,5,47,37,3,11,53,15,20,30,2,14,2,28,1,11,42,2748.1060957443865,2348.279151684156,110.0,2129.508909169926
137,230.1,5,47,37,3,11,53,15,20,30,2,14,2,28,1,11,42,2748.1060957443865,2348.279151684156,110.0,2129.508909169926
138,230.1,5,47,37,3,11,53,15,20,30,2,14,2,28,1,11,42,2748.1060957443865,2348.279151684156,110.0,2129.508909169926
139,230.1,5,47,37,3,11,53,15,20,30,2,14,2,28,1,11,42,2748.1060957443865,2348.279151684156,110.0,2129.508909169926
140,230.1,5,47,37,3,11,53,15,20,30,2,14,2,28,1,11,42,2748.1060957443865,2348.279151684156,110.0,2129.508909169926
141,400.0,1,1,6,0,0,0,0,1,3,1,18,0,4,0,0,1,2245.2639632971473,1984.1763005780347,1158.5365853658536,1425.0
142,583.1,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4613.273880980963
143,583.1,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4613.273880980963
144,583.1,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4613.273880980963
145,583.1,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4613.273880980963
146,583.1,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4613.273880980963
147,583.1,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,4613.273880980963
148,161.6,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,1386.138613861386
149,161.6,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,1386.138613861386
150,262.5,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,3428.5714285714284
151,262.5,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,3428.5714285714284
152,262.5,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,3428.5714285714284
153,262.5,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,3428.5714285714284
154,410.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4317.073170731707
155,410.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4317.073170731707
156,410.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4317.073170731707
157,410.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4317.073170731707
158,410.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4317.073170731707
159,410.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4317.073170731707
160,87.0,11,11,29,1,6,4,5,18,19,4,25,1,11,0,3,11,3126.693060543405,3109.991662034464,1003.5122930255897,3793.103448275862
161,87.0,11,11,29,1,6,4,5,18,19,4,25,1,11,0,3,11,3126.693060543405,3109.991662034464,1003.5122930255897,3793.103448275862
162,87.0,11,11,29,1,6,4,5,18,19,4,25,1,11,0,3,11,3126.693060543405,3109.991662034464,1003.5122930255897,3793.103448275862
163,87.0,11,11,29,1,6,4,5,18,19,4,25,1,11,0,3,11,3126.693060543405,3109.991662034464,1003.5122930255897,3793.103448275862
164,374.4,0,2,0,0,0,0,0,0,3,0,4,0,2,0,0,0,2184.343779721194,1988.636363636364,562.5,1709.4017094017097
165,374.4,0,2,0,0,0,0,0,0,3,0,4,0,2,0,0,0,2184.343779721194,1988.636363636364,562.5,1709.4017094017097
166,598.0,1,8,34,0,8,34,3,11,14,2,13,2,11,1,3,19,2279.8435030274145,1847.8260869565213,783.3333333333334,2391.304347826087
167,420.32,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,5472.02131709174
168,420.32,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,5472.02131709174
169,164.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1463.4146341463415
170,164.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1463.4146341463415
171,164.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1463.4146341463415
172,164.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1463.4146341463415
173,164.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1463.4146341463415
174,164.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1463.4146341463415
175,128.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2968.75
176,128.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2968.75
177,128.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2968.75
178,128.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2968.75
179,128.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2968.75
180,128.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2968.75
181,558.0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1699.9650199679063,1552.2186147186148,482.1428571428572,1254.4802867383512
182,1056.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,2367.4242424242425
183,1056.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,2367.4242424242425
184,1056.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,2367.4242424242425
185,1056.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,2367.4242424242425
186,791.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,2275.600505689001
187,791.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,2275.600505689001
188,1508.0,9,2,15,1,2,8,3,7,14,3,20,2,9,0,4,7,1718.6956252754987,1718.6956252754985,1425.7294429708222,1425.7294429708222
189,1508.0,9,2,15,1,2,8,3,7,14,3,20,2,9,0,4,7,1718.6956252754987,1718.6956252754985,1425.7294429708222,1425.7294429708222
190,1508.0,9,2,15,1,2,8,3,7,14,3,20,2,9,0,4,7,1718.6956252754987,1718.6956252754985,1425.7294429708222,1425.7294429708222
191,100.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,3750.0
192,100.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,3750.0
193,146.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,3561.6438356164385
194,146.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,3561.6438356164385
195,146.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,3561.6438356164385
196,146.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,3561.6438356164385
197,146.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,3561.6438356164385
198,146.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,3561.6438356164385
199,146.0,6,32,50,0,3,23,9,17,18,2,20,0,12,1,4,25,3270.5670928547806,2851.71102661597,855.1198257080611,3561.6438356164385
